Risk Kodu,Kategori,Öneri Metni,Vars. P,Vars. Ş
UYR01,Altyüklenici Sayısının Yetersiz Olması,UYR01,,
UYR02,Beton Döküm Hataları,UYR02,,
UYR03,Boru Birleşim Hataları,UYR03,,
UYR04,Dalgıç operasyonu gereksinimi,UYR04,,
UYR05,Dengesiz Zemin Veya Beklenmeyen Zemin Davranışı,UYR05,,
UYR06,Deniz yapısına bağlı olan boru hatlarının zarar görmesi  ve çevre kirliliği riskleri. (özellikle petrol boru hatları için dikkat edilmesi gereken konular.),UYR06,,
UYR07,Duba Vincinin Devrilmesi,UYR07,,
UYR08,"Düşük İş İlerlemesi Ve Verimlilik, Zayıf Performans",UYR08,,
UYR09,"Ekipman, Makine Ve Techizatın Arızalanması",UYR09,,
UYR10,Ekipmanlarının Batması,UYR10,,
UYR11,Güvenilir Olmayan Bölgesel Jeolojik Bilgiler,UYR11,,
UYR12,İnşa Edilebilirlik Sorunları,UYR12,,
UYR13,İnşaat Alanının Bir Kısmının Veya Tamamının  Hasarlanması,UYR13,,
UYR14,İnşaat Demir Testinin Dizayn Kriterlerini Sağlamaması,UYR14,,
UYR15,İnşaat Sırasında Sürpriz Zemin Durumu,UYR15,,
UYR16,İş Fazları Ve Aşamalarının Koordinasyonu,UYR16,,
UYR17,İş Yeri Tesliminin Gecikmesi,UYR17,,
UYR18,İşveren Tarafından Kabul Edilmeyen İş Kalitesi,UYR18,,
UYR19,"Kazık Çakılması Sırasında, Kazıkların Hasarlanması",UYR19,,
UYR20,Kazık ve birleşim elemanlarının katotik korumalarının yapılmaması veya bakılarının ihmal edilmesi  durumunda görülebilecek deformasyonlar neticesinde yapının hasar alması,UYR20,,
UYR21,Kazık Yükleme Testi,UYR21,,
UYR22,Kötü İletişim Ve Yönetim Becerileri,UYR22,,
UYR23,Lojistik sorumları ile karşılaşılması,UYR23,,
UYR24,Proje kontrolünün yetkin firma veya kişiler tarafından yapılmaması,UYR24,,
UYR25,Proje sahasının yeterli büyüklükte olmaması,UYR25,,
UYR26,Projedeki İşçiler Arasındaki Çatışmalar,UYR26,,
UYR27,"Rıhtım yapılarında yük indirme veya bindirme esnasında vinçlerin yapıya veya çevresindeki deniz taşıtlarına zarar vermesi , devrilme vs.",UYR27,,
UYR28,Tasarımcı / Uygulama Ekibi Arasındaki Anlaşmazlıklar,UYR28,,
UYR29,Teknik Şartname Yetersizliği,UYR29,,
UYR30,Topografik Ölçüm Hataları,UYR30,,
UYR31,Uygulama Hataları,UYR31,,
UYR32,Uygun Olmayan Eski Teknoloji/İleri Teknoloji/Ekipman Kullanımı,UYR32,,
UYR33,Vasıflı İş Gücünün Eğitimi,UYR33,,
UYR34,"Yapım aşamasında veya sonrası kullanım esnasında , başka deniz taşıtlarının çarpması veya zarar vermesi",UYR34,,
UYR35,Zemin Katmanlarını Doğru Tahmin Edememek,UYR35,,
ÇER01,ÇED gerekliliğinin olması,ÇER01,,
ÇER02,ÇED koşullarının sağlanmasındaki zorluklar,ÇER02,,
ÇER03,Çevresel Tehditler,ÇER03,,
ÇER04,Deniz Dibi Tarama Faliyetinin olması,ÇER04,,
ÇER05,Deniz Dip Tarama İzni gerekliliği,ÇER05,,
ÇER06,Deniz seviyesinde ani yükselme sonrası oluşabilecek hasarlar,ÇER06,,
ÇER07,Deniz Trafiğinin Engellenmesi,ÇER07,,
ÇER08,"Deprem etkisi altında yapı inşaası veya sonrasında oluşabilecek kalıcı veya tamir edilebilir, deformasyonlar.",ÇER08,,
ÇER09,Doğa Koşulları,ÇER09,,
ÇER10,Doğal Afetler,ÇER10,,
ÇER11,Hava şartlarının inşaata elverişli olmaması,ÇER11,,
ÇER12,Pandemiler,ÇER12,,
ÇER13,Söküm faliyetinin olması ve malzeme bertarafı,ÇER13,,
ÇER14,Yakıt dolum ve boşaltma tesislerinde oluşabilecek yangın ve patlama riskleri.,ÇER14,,
ÇER15,Zemin Koşulları,ÇER15,,
DTR01,Dalga ve iklimlendirme analizi gerekmesi,DTR01,,
DTR02,Hali hazır proje ve hesap raporlarının bulunanaması,DTR02,,
DTR03,İmar Plan Sınırı ile Proje sınırının örtüşmemesi,DTR03,,
DTR04,İnşaat Sırasında Dizaynın Değişmesi,DTR04,,
DTR05,Köprü üstü simülasyon gereksiniminin olması,DTR05,,
DTR06,Mevcut yapının güncel yönetmelik şartlarını sağlayamaması,DTR06,,
DTR07,Müşteri İsteklerinin Yanlış Anlaşılması,DTR07,,
DTR08,Oşinografi raporu gereksiniminin olması,DTR08,,
DTR09,Rüzgar ve tide kayıtlara erişim,DTR09,,
DTR10,Saha İncelemesinin Yetersizliği,DTR10,,
DTR11,Standartlar veya şartnameler arası çelişkilerin olması,DTR11,,
DTR12,Şartnamelerin Eksikliği,DTR12,,
DTR13,Tasarım Hatası,DTR13,,
DTR14,Tasarım Paketlerinin Ve Revizyonlarının Gecikmesi,DTR14,,
DTR15,Uygulama sırasında dizayn değişikliği gerekliliği,DTR15,,
